,predicted,position,first_name,second_name,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,influence,creativity,threat
75,DEF,DEF,Diego,Llorente,4.4,16,648,0,0,1,1,0,2,99.0,5.8,40.0
80,DEF,DEF,Craig,Dawson,4.8,16,676,0,1,1,2,0,0,99.2,16.4,60.0
97,DEF,DEF,Renan Augusto,Lodi dos Santos,4.3,16,720,0,0,2,2,0,0,80.4,62.4,54.0
48,DEF,DEF,Duje,Caleta-Car,4.5,15,516,0,0,1,1,0,2,102.0,13.1,29.0
43,DEF,DEF,Kristoffer,Ajer,4.5,15,502,0,0,2,0,0,0,63.6,7.6,19.0
36,DEF,MID,Orel,Mangala,4.9,15,461,0,0,2,1,0,0,21.0,21.3,31.0
73,DEF,MID,Scott,McTominay,4.9,14,635,0,0,2,5,0,0,98.4,47.7,80.0
14,DEF,DEF,Harry,Maguire,4.7,14,384,0,0,2,3,0,1,105.4,17.0,40.0
53,DEF,MID,Ainsley,Maitland-Niles,4.8,13,535,0,0,1,2,0,0,91.0,75.1,6.0
2,DEF,FWD,Wilfried,Gnonto,5.0,13,313,1,1,1,2,0,0,38.6,73.4,35.0
82,DEF,DEF,Aaron,Hickey,4.9,13,680,0,1,1,4,0,0,98.8,30.0,45.0
1,DEF,MID,Samuel,Edozie,4.7,13,311,0,0,0,0,0,0,48.4,57.7,101.0
13,DEF,MID,Boubacar,Traoré,4.4,12,380,0,1,0,2,0,0,48.0,16.6,7.0
3,DEF,DEF,Mason,Holgate,4.3,12,319,0,0,1,1,0,2,72.0,36.4,48.0
5,DEF,FWD,Carlos Vinícius,Alves Morais,5.5,12,328,0,0,0,1,0,0,13.6,40.8,112.0
29,DEF,DEF,Victor,Lindelöf,4.2,12,437,0,0,1,0,0,0,82.4,5.6,0.0
42,DEF,MID,Ibrahima,Diallo,4.3,12,493,0,0,0,1,0,0,34.4,24.8,24.0
37,DEF,DEF,Lyanco,Silveira Neves Vojnovic,4.4,11,477,0,0,0,2,0,0,86.2,17.2,40.0
119,DEF,DEF,Jonny,Evans,4.4,11,810,0,0,1,0,0,0,177.6,20.3,35.0
0,DEF,MID,Ryan,Fraser,5.2,11,308,0,0,1,1,0,0,26.8,74.0,70.0
64,FWD,FWD,Diego,Da Silva Costa,5.5,10,592,0,0,1,1,1,0,16.6,53.3,334.0
9,DEF,MID,Tom,Davies,4.9,10,363,0,0,1,2,0,0,30.4,23.7,43.0
51,DEF,DEF,Luke,Thomas,4.2,10,523,0,0,1,1,0,0,84.6,52.1,2.0
39,DEF,DEF,Joel,Matip,5.9,9,483,0,0,0,0,0,0,108.4,8.1,6.0
32,DEF,DEF,Ryan,Fredericks,4.4,9,449,0,0,0,1,0,0,44.2,25.4,8.0
11,DEF,DEF,Levi,Colwill,4.4,7,372,0,0,0,0,0,0,60.4,7.9,4.0
8,DEF,DEF,Wesley,Fofana,4.3,4,360,0,0,0,1,0,0,67.4,13.8,26.0
