Rk,Player,Squad,Gls▼,xG
507,Jed Steer,Aston Villa,0,0
508,Zack Steffen,Manchester City,0,0
509,Dale Stephens,Burnley,0,0
510,Jack Stephens,Southampton,0,0
511,Finley Stevens,Brentford,0,0
512,Crysencio Summerville,Leeds United,0,0.2
513,Jakob Sørensen,Norwich City,0,0.4
514,Japhet Tanganga,Tottenham,0,0.6
515,Matt Targett,Newcastle Utd,0,0.4
516,Charlie Taylor,Burnley,0,0.3
517,Nathan Tella,Southampton,0,0.8
518,Alex Telles,Manchester Utd,0,0.5
519,Luke Thomas,Leicester City,0,0.2
520,Dominic Thompson,Brentford,0,0.1
521,Takehiro Tomiyasu,Arsenal,0,0.8
522,Cenk Tosun,Everton,0,0
523,Bertrand Traoré,Aston Villa,0,0.4
524,Trézéguet,Aston Villa,0,0.1
525,William Troost-Ekong,Watford,0,0.2
526,Kostas Tsimikas,Liverpool,0,0.8
527,Axel Tuanzebe,Aston Villa,0,0.2
528,Ozan Tufan,Watford,0,0.3
529,Christos Tzolis,Norwich City,0,0.6
530,Yan Valery,Southampton,0,0
531,Jannik Vestergaard,Leicester City,0,0.1
532,Theo Walcott,Southampton,0,0.6
533,Kyle Walker,Manchester City,0,0.4
534,Aaron Wan-Bissaka,Manchester Utd,0,0.5
535,Danny Ward,Leicester City,0,0
536,Joel Ward,Crystal Palace,0,0.5
537,Ashley Westwood,Burnley,0,0.8
538,Ben White,Arsenal,0,1
539,Brandon Williams,Norwich City,0,0.2
540,Neco Williams,Liverpool,0,0
541,Harry Winks,Tottenham,0,0.2
542,Freddie Woodman,Newcastle Utd,0,0
543,Ashley Young,Aston Villa,0,0.6
544,Nathan Young-Coombes,Brentford,0,0
545,Christoph Zimmermann,Norwich City,0,0.1
546,Oleksandr Zinchenko,Manchester City,0,0.6
